reading_id,farm_id,sensor_type,reading_value,reading_ts
READ_00153,FARM_009,Temperature,12.8,10/09/2023 02:18
READ_00154,FARM_005,Temperature,15.89,09/10/2023 08:45
READ_00155,FARM_015,Temperature,51.9,20/07/2023 04:41
READ_00156,FARM_011,Temperature,55.74,21/07/2023 18:39
READ_00157,FARM_018,SoilMoisture,63.26,03/07/2023 05:59
READ_00158,FARM_013,SoilMoisture,34.49,17/01/2023 23:01
READ_00159,FARM_003,SoilMoisture,70,12/07/2023 10:42
READ_00160,FARM_003,SoilMoisture,66.23,28/03/2023 08:32
READ_00161,FARM_012,SoilMoisture,34.41,31/03/2023 09:13
READ_00162,FARM_004,SoilMoisture,10.48,30/05/2023 06:40
READ_00163,FARM_011,SoilMoisture,13.35,18/01/2023 13:29
READ_00164,FARM_013,Temperature,9.25,26/09/2023 12:10
READ_00165,FARM_018,Temperature,79.59,07/04/2023 18:51
READ_00166,FARM_007,Temperature,35.66,10/07/2023 02:20
READ_00167,FARM_008,SoilMoisture,14.92,26/07/2023 15:49
READ_00168,FARM_010,Temperature,16.62,07/09/2023 05:41
READ_00169,FARM_004,SoilMoisture,68.58,23/03/2023 17:57
READ_00170,FARM_012,SoilMoisture,31.17,15/06/2023 08:57
READ_00171,FARM_012,SoilMoisture,20.76,29/07/2023 04:24
READ_00172,FARM_014,Temperature,8.34,09/10/2023 13:21
READ_00173,FARM_019,Temperature,17.43,06/02/2023 17:59
READ_00174,FARM_011,SoilMoisture,76.03,12/04/2023 09:00
READ_00175,FARM_012,Temperature,41.81,07/06/2023 04:26
READ_00176,FARM_001,Temperature,41.47,21/02/2023 05:27
READ_00177,FARM_004,Temperature,30.09,06/08/2023 18:21
READ_00178,FARM_005,Temperature,47.38,14/02/2023 01:46
READ_00179,FARM_012,Temperature,54.28,20/01/2023 19:10
READ_00180,FARM_017,SoilMoisture,22.32,01/07/2023 21:53
READ_00181,FARM_007,Temperature,17.57,30/09/2023 11:25
READ_00182,FARM_004,SoilMoisture,13.63,07/02/2023 05:22
READ_00183,FARM_015,SoilMoisture,31.13,26/10/2023 03:24
READ_00184,FARM_018,SoilMoisture,78.62,20/01/2023 18:33
READ_00185,FARM_004,Temperature,70.9,01/03/2023 14:21
READ_00186,FARM_008,Temperature,59.39,14/04/2023 10:12
READ_00187,FARM_007,SoilMoisture,32.31,26/03/2023 08:09
READ_00188,FARM_004,Temperature,61.79,15/08/2023 02:45
READ_00189,FARM_013,Temperature,77.87,25/05/2023 05:33
READ_00190,FARM_013,Temperature,5.73,31/08/2023 10:41
READ_00191,FARM_005,SoilMoisture,8.59,13/09/2023 17:40
READ_00192,FARM_013,Temperature,33.33,06/03/2023 14:14
READ_00193,FARM_006,Temperature,9.3,26/02/2023 09:17
READ_00194,FARM_007,Temperature,64.55,18/06/2023 16:45
READ_00195,FARM_013,SoilMoisture,43.04,06/10/2023 05:58
READ_00196,FARM_012,SoilMoisture,57.89,21/04/2023 01:48
READ_00197,FARM_010,Temperature,36.26,27/10/2023 14:42
READ_00198,FARM_006,Temperature,61.61,12/02/2023 17:05
READ_00199,FARM_006,Temperature,63.02,04/07/2023 04:47
READ_00200,FARM_002,SoilMoisture,35.74,05/08/2023 13:32
READ_00201,FARM_005,SoilMoisture,11.8,18/10/2023 02:38
READ_00202,FARM_007,Temperature,56.74,18/09/2023 14:10
READ_00203,FARM_016,SoilMoisture,63.29,27/09/2023 14:05
READ_00204,FARM_019,SoilMoisture,33.42,12/02/2023 22:38
READ_00205,FARM_013,SoilMoisture,12.86,14/10/2023 10:53
READ_00206,FARM_001,SoilMoisture,67,11/06/2023 16:52
READ_00207,FARM_018,SoilMoisture,43.53,28/04/2023 20:45
READ_00208,FARM_001,Temperature,40.39,07/07/2023 22:43
READ_00209,FARM_011,Temperature,32.01,25/02/2023 14:55
READ_00210,FARM_019,Temperature,52.98,25/07/2023 04:16
READ_00211,FARM_015,Temperature,56.7,07/05/2023 23:09
READ_00212,FARM_006,SoilMoisture,42.21,09/09/2023 11:37
READ_00213,FARM_002,SoilMoisture,76.35,28/01/2023 04:04
READ_00214,FARM_016,Temperature,75.95,07/05/2023 06:00
READ_00215,FARM_020,Temperature,34.46,28/10/2023 13:56
READ_00216,FARM_006,SoilMoisture,49.91,03/10/2023 19:58
READ_00217,FARM_007,Temperature,65.79,03/10/2023 05:59
READ_00218,FARM_019,Temperature,40.89,29/04/2023 09:48
READ_00219,FARM_017,SoilMoisture,74.63,07/07/2023 18:52
READ_00220,FARM_001,Temperature,60.2,29/04/2023 05:34
READ_00221,FARM_012,SoilMoisture,66.22,13/07/2023 10:13
READ_00222,FARM_018,SoilMoisture,34.75,07/08/2023 19:08
READ_00223,FARM_006,Temperature,45.34,13/09/2023 22:04
READ_00224,FARM_010,Temperature,29.15,06/09/2023 20:29
READ_00225,FARM_010,SoilMoisture,46.48,10/10/2023 19:17
READ_00226,FARM_004,Temperature,65.05,05/05/2023 02:14
READ_00227,FARM_009,SoilMoisture,59.94,03/04/2023 09:20
READ_00228,FARM_020,SoilMoisture,44.5,28/04/2023 16:50
READ_00229,FARM_014,SoilMoisture,46.71,07/03/2023 12:07
READ_00230,FARM_013,Temperature,9.47,28/06/2023 20:42
READ_00231,FARM_004,Temperature,7.42,14/05/2023 00:46
READ_00232,FARM_008,Temperature,63.51,09/02/2023 11:41
READ_00233,FARM_010,Temperature,59.06,22/09/2023 11:36
READ_00234,FARM_009,SoilMoisture,35.37,16/03/2023 03:23
READ_00235,FARM_016,Temperature,12.97,01/04/2023 20:32
READ_00236,FARM_005,SoilMoisture,34.06,07/05/2023 05:49
READ_00237,FARM_018,SoilMoisture,60.61,20/03/2023 04:50
READ_00238,FARM_005,Temperature,30.1,03/08/2023 16:55
READ_00239,FARM_008,Temperature,10.33,08/07/2023 09:11
READ_00240,FARM_015,SoilMoisture,67.09,23/01/2023 20:24
READ_00241,FARM_007,Temperature,39.93,25/06/2023 09:53
READ_00242,FARM_008,Temperature,13.36,22/06/2023 06:46
READ_00243,FARM_013,Temperature,39.34,28/10/2023 06:10
READ_00244,FARM_004,SoilMoisture,66.74,07/04/2023 07:25
READ_00245,FARM_006,Temperature,71.56,28/07/2023 20:03
READ_00246,FARM_001,SoilMoisture,73.42,09/01/2023 02:55
READ_00247,FARM_009,SoilMoisture,64.97,30/08/2023 02:33
READ_00248,FARM_001,Temperature,15.23,31/08/2023 17:33
READ_00249,FARM_013,SoilMoisture,71.42,17/10/2023 16:27
READ_00250,FARM_003,SoilMoisture,17.34,25/04/2023 10:41
READ_00251,FARM_008,SoilMoisture,56.2,18/08/2023 05:29
READ_00252,FARM_002,SoilMoisture,79.86,01/04/2023 03:11
READ_00253,FARM_006,SoilMoisture,25.89,07/05/2023 17:16
READ_00254,FARM_017,Temperature,77.69,05/06/2023 15:31
READ_00255,FARM_018,SoilMoisture,33.04,30/08/2023 14:44
READ_00256,FARM_017,SoilMoisture,61.2,09/08/2023 04:01
READ_00257,FARM_003,SoilMoisture,45.57,15/05/2023 06:33
READ_00258,FARM_014,SoilMoisture,32.17,21/06/2023 09:42
READ_00259,FARM_012,Temperature,42.34,13/08/2023 05:55
READ_00260,FARM_004,Temperature,37.15,05/03/2023 04:26
READ_00261,FARM_016,SoilMoisture,21.59,16/06/2023 14:48
READ_00262,FARM_005,SoilMoisture,65.4,03/09/2023 07:34
READ_00263,FARM_004,Temperature,55.53,19/07/2023 13:52
READ_00264,FARM_003,Temperature,49.68,10/07/2023 02:58
READ_00265,FARM_018,SoilMoisture,18.25,23/10/2023 15:22
READ_00266,FARM_016,SoilMoisture,43.88,21/05/2023 23:06
READ_00267,FARM_014,Temperature,49.48,08/02/2023 03:27
READ_00268,FARM_007,Temperature,9.04,16/10/2023 17:53
READ_00269,FARM_014,SoilMoisture,50.64,08/05/2023 19:50
READ_00270,FARM_015,SoilMoisture,25.55,28/03/2023 01:05
READ_00271,FARM_016,SoilMoisture,7.82,15/03/2023 12:29
READ_00272,FARM_019,Temperature,75.58,22/08/2023 15:44
READ_00273,FARM_001,SoilMoisture,74.1,16/06/2023 20:59
READ_00274,FARM_006,Temperature,22.83,20/02/2023 12:54
READ_00275,FARM_010,SoilMoisture,63.29,08/01/2023 09:44
READ_00276,FARM_012,Temperature,53.65,28/02/2023 00:31
READ_00277,FARM_009,SoilMoisture,14.04,17/01/2023 04:38
READ_00278,FARM_010,SoilMoisture,51.01,05/09/2023 07:52
READ_00279,FARM_007,Temperature,57.59,08/02/2023 00:16
READ_00280,FARM_010,SoilMoisture,13.25,22/07/2023 03:20
READ_00281,FARM_017,Temperature,24.09,18/07/2023 09:40
READ_00282,FARM_019,Temperature,76.87,21/03/2023 17:48
READ_00283,FARM_016,Temperature,41.64,27/07/2023 06:14
READ_00284,FARM_011,SoilMoisture,36.62,26/09/2023 12:12
READ_00285,FARM_006,Temperature,66.01,11/05/2023 18:51
READ_00286,FARM_008,Temperature,36.6,24/04/2023 08:53
READ_00287,FARM_005,SoilMoisture,42.93,13/07/2023 12:46
READ_00288,FARM_013,Temperature,72.36,21/04/2023 12:01
READ_00289,FARM_010,Temperature,35.13,16/10/2023 05:47
READ_00290,FARM_012,SoilMoisture,63.58,01/05/2023 17:10
READ_00291,FARM_020,SoilMoisture,24.66,18/07/2023 02:46
READ_00292,FARM_017,SoilMoisture,17.9,24/10/2023 22:30
READ_00293,FARM_011,Temperature,11,31/08/2023 04:16
READ_00294,FARM_004,SoilMoisture,72.48,12/07/2023 09:02
READ_00295,FARM_017,Temperature,11.84,15/06/2023 01:57
READ_00296,FARM_002,Temperature,19.48,31/01/2023 02:31
READ_00297,FARM_018,Temperature,54.32,17/03/2023 04:06
READ_00298,FARM_008,SoilMoisture,24.08,15/10/2023 16:24
READ_00299,FARM_008,Temperature,26.59,08/04/2023 06:00
READ_00300,FARM_001,Temperature,14.59,01/08/2023 02:06
READ_00301,FARM_012,Temperature,10.89,13/07/2023 17:37
READ_00302,FARM_008,SoilMoisture,5.13,19/02/2023 09:38
READ_00303,FARM_007,SoilMoisture,7.9,16/07/2023 00:17
READ_00304,FARM_019,Temperature,67.2,14/07/2023 13:52
READ_00305,FARM_012,SoilMoisture,5.49,06/03/2023 11:57
READ_00306,FARM_015,Temperature,17.47,10/07/2023 17:42
READ_00307,FARM_010,Temperature,14.61,03/10/2023 00:16
READ_00308,FARM_007,SoilMoisture,29.11,25/03/2023 06:16
READ_00309,FARM_008,SoilMoisture,9.62,26/01/2023 02:44
READ_00310,FARM_002,Temperature,69.22,14/08/2023 12:41
READ_00311,FARM_006,Temperature,73.62,09/03/2023 20:48
READ_00312,FARM_012,Temperature,24.78,27/04/2023 18:11
READ_00313,FARM_014,SoilMoisture,12.8,02/04/2023 01:32
READ_00314,FARM_001,SoilMoisture,7.56,09/05/2023 16:14
READ_00315,FARM_009,Temperature,49.96,21/07/2023 16:36
READ_00316,FARM_017,Temperature,5.66,20/03/2023 18:41
READ_00317,FARM_001,SoilMoisture,46.95,01/06/2023 21:38
READ_00318,FARM_011,SoilMoisture,71.58,30/06/2023 18:02
READ_00319,FARM_010,SoilMoisture,72.04,18/05/2023 11:57
READ_00320,FARM_018,SoilMoisture,22.15,19/02/2023 01:54
READ_00321,FARM_018,SoilMoisture,9.82,13/09/2023 17:25
READ_00322,FARM_003,Temperature,60.37,16/06/2023 10:09
READ_00323,FARM_018,Temperature,41.46,08/03/2023 06:31
READ_00324,FARM_003,Temp,38.2500001,08/03/20023  17:31:00
READ_00325,FARM_015,SoilMoisture,54.06,09/04/2023 18:08
READ_00326,FARM_007,Temperature,53.48,16/03/2023 16:27
READ_00327,FARM_002,SoilMoisture,21.98,17/09/2023 02:08
READ_00328,FARM_019,Temperature,74.45,10/07/2023 06:03
READ_00329,FARM_017,Temperature,77.11,27/01/2023 14:06
READ_00330,FARM_003,Temperature,78.5,29/05/2023 19:21
READ_00331,FARM_004,SoilMoisture,29.87,11/05/2023 02:05
READ_00332,FARM_010,Temperature,43.8,23/08/2023 12:21
READ_00333,FARM_002,Temperature,37.6,22/09/2023 08:07
READ_00334,FARM_012,SoilMoisture,16.34,05/10/2023 16:58
READ_00335,FARM_008,Temperature,67.32,24/09/2023 02:45
READ_00336,FARM_001,Temperature,44.31,01/07/2023 05:37
READ_00337,FARM_009,Temperature,60.68,12/05/2023 10:23
READ_00338,FARM_016,SoilMoisture,47.07,12/08/2023 00:09
READ_00339,FARM_016,SoilMoisture,69.28,29/05/2023 14:48
READ_00340,FARM_008,Temperature,10.22,17/03/2023 09:56
READ_00341,FARM_001,Temperature,54.04,22/02/2023 17:12
READ_00342,FARM_001,SoilMoisture,68.77,14/02/2023 17:05
READ_00343,FARM_009,Temperature,53.89,21/10/2023 19:51
READ_00344,FARM_015,SoilMoisture,73.89,09/04/2023 18:42
READ_00345,FARM_006,Temperature,37.33,01/08/2023 07:52
READ_00346,FARM_015,Temperature,77.53,21/07/2023 17:25
READ_00347,FARM_015,SoilMoisture,44.37,05/09/2023 23:16
READ_00348,FARM_008,Temperature,33.88,28/09/2023 08:27
READ_00349,FARM_015,SoilMoisture,47.41,28/02/2023 10:50
READ_00350,FARM_013,SoilMoisture,54.58,14/08/2023 21:18
READ_00351,FARM_010,SoilMoisture,10.44,29/09/2023 08:37
READ_00352,FARM_003,SoilMoisture,75.89,18/06/2023 09:00
READ_00353,FARM_019,SoilMoisture,21.25,02/05/2023 02:07
READ_00354,FARM_005,Temperature,47.43,06/05/2023 08:08
READ_00355,FARM_010,SoilMoisture,37.82,28/06/2023 18:43
READ_00356,FARM_014,SoilMoisture,42.05,23/02/2023 16:53
READ_00357,FARM_009,SoilMoisture,71.68,12/02/2023 21:42
READ_00358,FARM_010,Temperature,11.71,22/01/2023 12:58
READ_00359,FARM_013,SoilMoisture,38.69,13/01/2023 22:00
READ_00360,FARM_007,Temperature,22.02,26/03/2023 12:58
READ_00361,FARM_020,SoilMoisture,14.17,07/10/2023 09:48
READ_00362,FARM_008,Temperature,8.42,02/07/2023 15:09
READ_00363,FARM_007,SoilMoisture,6.28,06/06/2023 22:55
READ_00364,FARM_002,SoilMoisture,37.96,02/06/2023 22:12
READ_00365,FARM_008,Temperature,29.11,21/08/2023 09:24
READ_00366,FARM_009,SoilMoisture,64,01/01/2023 01:19
READ_00367,FARM_004,SoilMoisture,12.17,09/09/2023 04:51
READ_00368,FARM_008,SoilMoisture,38.69,14/06/2023 15:44
READ_00369,FARM_009,SoilMoisture,5.5,10/08/2023 14:28
READ_00370,FARM_010,Temperature,71.33,28/02/2023 19:39
READ_00371,FARM_018,SoilMoisture,44.36,17/10/2023 12:04
READ_00372,FARM_001,Temperature,10.7,05/09/2023 01:15
READ_00373,FARM_003,SoilMoisture,26.27,17/09/2023 12:32
READ_00374,FARM_001,SoilMoisture,45.48,08/08/2023 14:03
READ_00375,FARM_001,SoilMoisture,58.48,19/03/2023 21:53
READ_00376,FARM_001,SoilMoisture,43.33,13/08/2023 23:33
READ_00377,FARM_016,SoilMoisture,73.8,12/01/2023 11:38
READ_00378,FARM_012,SoilMoisture,64.51,31/07/2023 00:20
READ_00379,FARM_012,Temperature,61.73,01/07/2023 19:26
READ_00380,FARM_012,SoilMoisture,17,03/07/2023 06:44
READ_00381,FARM_015,Temperature,16.59,26/09/2023 18:57
READ_00382,FARM_020,Temperature,10.34,22/05/2023 11:53
READ_00383,FARM_005,Temperature,17.69,19/02/2023 01:09
READ_00384,FARM_009,SoilMoisture,50.54,27/08/2023 09:43
READ_00385,FARM_018,Temperature,64.21,04/01/2023 09:30
READ_00386,FARM_010,SoilMoisture,56.51,02/04/2023 06:46
READ_00387,FARM_010,SoilMoisture,79.05,13/09/2023 18:37
READ_00388,FARM_011,SoilMoisture,68.71,15/02/2023 07:39
READ_00389,FARM_020,SoilMoisture,78.38,20/03/2023 02:37
READ_00390,FARM_014,Temperature,16.12,12/03/2023 04:55
READ_00391,FARM_016,Temperature,59.84,11/03/2023 07:54
READ_00392,FARM_007,Temperature,76.87,15/04/2023 02:04
READ_00393,FARM_007,SoilMoisture,38.8,17/05/2023 21:09
READ_00394,FARM_008,Temperature,50.79,02/10/2023 17:30
READ_00395,FARM_005,Temperature,62.91,20/10/2023 13:50
READ_00396,FARM_003,SoilMoisture,79.12,13/08/2023 08:41
READ_00397,FARM_011,Temperature,21.5,19/04/2023 18:24
READ_00398,FARM_014,SoilMoisture,29.91,29/01/2023 10:24
READ_00399,FARM_019,Temperature,23.21,16/10/2023 14:36
READ_00400,FARM_018,SoilMoisture,52.89,21/03/2023 01:06
READ_00401,FARM_002,SoilMoisture,56.09,10/02/2023 18:00
READ_00402,FARM_003,Temperature,20.48,10/08/2023 01:10
READ_00403,FARM_012,Temperature,5.37,21/09/2023 23:53
READ_00404,FARM_011,Temperature,6.43,20/01/2023 09:01
READ_00405,FARM_019,Temperature,26.43,19/02/2023 15:08
READ_00406,FARM_008,Temperature,33.66,23/01/2023 02:27
READ_00407,FARM_015,SoilMoisture,19.01,29/04/2023 15:16
READ_00408,FARM_009,SoilMoisture,21.17,06/01/2023 15:12
READ_00409,FARM_016,SoilMoisture,6.06,21/10/2023 13:45
READ_00410,FARM_013,SoilMoisture,10.2,12/08/2023 11:06
READ_00411,FARM_016,Temperature,35.28,15/02/2023 16:16
READ_00412,FARM_014,SoilMoisture,21.36,15/01/2023 20:01
READ_00413,FARM_005,SoilMoisture,40.4,19/04/2023 13:24
READ_00414,FARM_016,Temperature,72.04,22/06/2023 08:42
READ_00415,FARM_012,SoilMoisture,76.32,01/01/2023 15:18
READ_00416,FARM_018,Temperature,62.5,17/02/2023 04:35
